Year,Top2,Top4,Top6,Top8,Top10,Top12,Top14,Top16
1998,0.5,0.75,0.83,1.12,1,1.17,1.36,1.44
1999,0,0.75,1.17,1.25,1.5,1.5,1.79,1.88
2000,0.5,0.75,0.83,1.12,1.3,1.5,1.57,1.62
2001,0.5,1,1.17,1.25,1.4,1.58,1.71,1.88
2002,0,0.5,1,1.25,1.5,1.67,1.93,2.12
2003,1,1.25,1.5,1.75,1.8,2,2,2.12
2004,0,0.25,0.33,0.62,0.7,0.92,1.14,1.31
2005,0,0.75,1,1.25,1.4,1.42,1.43,1.56
2006,0.5,1,1,1.25,1.2,1.42,1.5,1.56
2007,1.5,1.75,1.83,1.75,1.7,1.75,1.93,2.12
2008,1,1,1,0.88,0.9,1.08,1.36,1.56
2009,0,0,0.17,0.62,0.9,1.17,1.43,1.62
2010,0,0.25,0.5,0.75,0.9,1.08,1.14,1.31
2011,0.5,0.75,1.17,1.25,1.4,1.58,1.71,1.81
2012,0.5,0.5,0.83,1,1.2,1.33,1.43,1.5
2013,0.5,0.75,1,1.12,1.3,1.42,1.57,1.62
2014,0.5,0.75,0.83,1.12,1.5,1.75,1.93,2.06
2015,0.5,0.75,1,1.12,1.3,1.42,1.43,1.62
2016,0.5,0.75,1.17,1.5,1.8,1.75,1.86,2
2017,1,1,1.17,1.5,1.4,1.5,1.71,1.94
2018,0,0.25,0.67,0.75,1.2,1.42,1.71,1.88
