Year,Top2,Top4,Top6,Top8,Top10,Top12,Top14,Top16
1998,11.5,11,10.83,10.62,10.6,10.33,10.14,10.12
1999,11,10.5,10.17,10,9.8,9.83,9.71,9.56
2000,11,10.75,10.5,10.25,10,9.92,9.79,9.69
2001,10.5,10.5,10.17,10.12,10.1,9.92,9.71,9.5
2002,12.5,12,11.33,11.12,10.8,10.58,10.43,10.25
2003,11.5,11.25,10.83,10.75,10.6,10.42,10.36,10.19
2004,12,11.5,11.17,10.75,10.7,10.42,10.14,10
2005,12,10.75,10.33,10.12,10,10,9.93,9.75
2006,12,11.25,11.17,11,11,10.83,10.71,10.69
2007,11,10.75,10.67,10.75,10.7,10.58,10.43,10.25
2008,12,11.75,11.5,11.5,11.4,11.25,10.93,10.69
2009,13,12.5,12.5,11.88,11.6,11.25,10.93,10.69
2010,12.5,12,11.67,11.38,11.3,11.17,11.14,10.94
2011,12,11.5,11.17,11,10.9,10.75,10.64,10.5
2012,12,11.75,11.5,11.38,11.1,10.92,10.86,10.81
2013,12.5,12,11.67,11.5,11.3,11.08,10.86,10.81
2014,12.5,12,11.83,11.38,11,10.75,10.5,10.38
2015,12.5,12,11.83,11.5,11.3,11.08,11.07,10.81
2016,12,12,11.5,11.12,10.7,10.83,10.64,10.44
2017,12,11.75,11.67,11.38,11.3,11.08,10.86,10.62
2018,13,12.5,12.17,11.88,11.4,11.08,10.79,10.5
