Year,City,Score
1903,Boston,1.0
1904,Boston,0.5  
1905,New York,1.0
1906,Chicago,1.0 
1907,Chicago,1.5 
1908,Chicago,1.8333333333333333
1909,Chicago,1.0833333333333333
1910,Philadelphia,1.0
1911,Philadelphia,1.5
1912,Boston,1.1
1913,Philadelphia,1.5833333333333333
1914,Boston,1.4166666666666665
1915,Boston,1.8269230769230769
1916,Boston,2.104761904761905
1917,Boston,1.3166666666666667
1918,Boston,1.9886904761904762
1919,Boston,1.3004901960784314
1920,Boston,1.0095238095238095
1921,New York,1.0588235294117647
1922,New York,1.5555555555555556
1923,New York,1.8859649122807016
1924,New York,1.1333333333333333
1925,Pittsburg,1.0588235294117647
1926,St. Louis,1.0
1927,New York,1.5530020703933747
1928,New York,2.9761904761904763
1929,New York,1.7523015873015872
1930,Philadelphia,1.653174603174603
1931,Montreal,1.5
1932,New York,1.8766233766233766
1933,New York,3.2618387359766667
1934,New York,2.009065934065934
1935,New York,1.5250541573122216
1936,New York,2.25406746031746
1937,New York,2.5758689839572195
1938,New York,2.780966174348527
1939,New York,2.9332194551234796
1940,New York,3.055684081999871
1941,New York,3.159023685339475
1942,New York,2.2489889496468445
1943,New York,2.8290250670046064
1944,New York,2.0680267515945268
1945,New York,1.7175208407401295
1946,St. Louis,1.7203754578754578
1947,New York,2.335417448615123
1948,Toronto,1.9516806722689075
1949,New York,2.446941929647635
1950,New York,2.7818961258281067
1951,New York,2.9961524271480866
1952,New York,3.1534304950267944
1953,New York,3.2778689798224225
1954,New York,3.381079741919189
1955,New York,4.46949724664534
1956,New York,4.047039350013354
1957,New York,2.9495920294144957
1958,New York,3.428905931537049
1959,New York,2.602897767850992
1960,Montreal,2.6378764657227656
1961,New York,2.9479048070934564
1962,New York,3.2594468881774175
1963,Boston,2.6568450045186123
1964,Boston,2.7991955418395906
1965,Boston,2.92209579812521
1966,Boston,3.030270274850101
1967,Boston,2.126897136695445
1968,Boston,2.714220685515737
1969,New York,3.352037722953962
1970,New York,3.2761982024726906
1971,Montreal,2.4557429890709734
1972,Boston,2.8313800639211384
1973,New York,2.750039722476686
1974,Boston,2.7375282479460097
1975,Oakland,2.083333333333333
1976,Boston,2.697611084308975
1977,Montreal,2.631512899538566
1978,New York,2.882413839741516
1979,Montreal,3.0347147352573
1980,New York,2.8124944084284103
1981,New York,3.118841515430047
1982,New York,3.3160049861944634
1983,New York,3.461959866515322
1984,New York,2.5782115726656665
1985,Los Angeles,2.316229583620888
1986,New York,2.9248397301438036
1987,New York,3.2477774856392667
1988,Los Angeles,3.501253321841557
1989,Los Angeles,2.2009617682198326
1990,Edmonton,1.8928571428571428
1991,New York,2.7068566943259036
1992,New York,2.0844389825125575
1993,Chicago,2.0706329823611296
1994,New York,2.6530023478190614
1995,New York,2.0324666085343943
1996,New York,2.771095910308143
1997,Chicago,2.1974912028806957
1998,Chicago,3.4476804535911345
1999,New York,3.1528357179041198
2000,New York,3.3617055716579918
2001,New York,2.515276646656724
2002,Los Angeles,4.380206781829835
2003,Los Angeles,2.6038914064489305
2004,Boston,2.9746106290654786
2005,Boston,2.87337656475549
2006,Boston,1.9732628454413377
2007,Boston,2.5908229985534637
2008,Boston,2.86881689587399
2009,New York,2.8004945521381814
2010,Los Angeles,2.8325492699235264
2011,Los Angeles,3.028911637905308
2012,Los Angeles,4.174195456353647
2013,Los Angeles,2.7904015849701884
2014,Los Angeles,4.221207509457367
2015,Los Angeles,2.8889236581588236
2016,Chicago,2.411296744851447
2017,Boston,2.621508864001705
2018,Boston,2.94255793634781
2019,Boston,3.1491503966179697
2020,Los Angeles,3.463110905419727
2021,Tampa Bay,2.608187134502924
2022,Los Angeles,3.9297114779439233
2023,Los Angeles,2.685622852438584
